x	cos(th)	sin(th)	v	thDot	
0.013593043	-0.9999858	0.0053318758	-0.00067965215	0.0008601507	
0.013616432	-0.99998564	0.0053630406	0.003485845	-0.0012338556	
0.013639794	-0.99998546	0.005395956	-0.00068198965	0.0008385699	
0.013663144	-0.9999853	0.0054307273	0.0034835094	-0.0012555523	
0.013686466	-0.99998504	0.0054672686	-0.0006843233	0.00081674877	
0.013709778	-0.99998486	0.005505687	0.0034811778	-0.0012775037	
0.013733061	-0.9999846	0.005545899	-0.000686653	0.00079465803	
0.013756334	-0.9999844	0.0055880114	0.00347885	-0.0012997392	
0.013779578	-0.99998415	0.0056319414	-0.0006889789	0.00077226816	
0.013802812	-0.9999839	0.0056777983	0.0034765261	-0.0013222889	
0.013826018	-0.9999836	0.0057255006	-0.0006913009	0.00074954913	
0.013849214	-0.9999833	0.0057751588	0.003474206	-0.0013451827	
0.01387238	-0.999983	0.0058266916	-0.000693619	0.0007264706	
0.013895538	-0.9999827	0.005880212	0.0034718898	-0.0013684512	
0.013918665	-0.99998236	0.0059356396	-0.0006959333	0.00070300186	
0.013941784	-0.99998206	0.0059930882	0.0034695775	-0.0013921254	
0.013964874	-0.9999817	0.006052479	-0.0006982437	0.0006791115	
0.013987954	-0.9999813	0.006113928	0.003467269	-0.0014162369	
0.014011005	-0.9999809	0.0061773565	-0.0007005502	0.00065476785	
0.014034047	-0.9999805	0.006242882	0.0034649645	-0.0014408176	
0.014057059	-0.9999801	0.006310428	-0.00070285297	0.0006299385	
0.0140800625	-0.9999797	0.0063801124	0.0034626636	-0.0014659003	
0.014103036	-0.9999792	0.0064518605	-0.0007051518	0.00060459046	
0.014126002	-0.9999787	0.0065257917	0.0034603665	-0.0014915183	
0.014148938	-0.9999782	0.0066018333	-0.0007074469	0.0005786901	
0.014171865	-0.9999777	0.006680105	0.0034580734	-0.0015177055	
0.014194762	-0.9999772	0.0067605353	-0.0007097381	0.00055220316	
0.014217651	-0.9999766	0.0068432465	0.0034557842	-0.0015444965	
0.014240511	-0.999976	0.0069281682	-0.00071202556	0.0005250946	
